Date,Open,High,Low,Close,Adj Close,Volume
2000-03-03,310000,312500,294000,300000,263150.7188,2819800
2000-03-06,300000,302500,280000,282000,247361.7031,783000
2000-03-07,280000,282000,274000,281000,246484.5,601400
2000-03-08,276000,300000,275000,296000,259642.0781,649200
2000-03-09,298500,299000,281000,281000,246484.5,1117800
2000-03-10,289500,290000,276000,277000,242975.8281,572100
2000-03-13,274000,274500,258000,259000,227186.7813,644300
2000-03-14,258500,269000,258000,260500,228502.5469,601200
2000-03-15,260000,270000,256000,270000,236835.6563,922100
2000-03-16,274000,276000,268000,270000,236835.6563,575900
2000-03-17,277000,278000,270000,274000,240344.2969,481600
2000-03-20,280000,285500,276500,283000,248238.8438,527300
2000-03-21,285000,297000,280500,294000,257887.7188,898500
2000-03-22,298000,315000,294000,310000,271922.4375,1739500
2000-03-23,324000,329000,310000,310000,271922.4375,1299000
2000-03-24,316000,356000,309000,340000,298237.5,1805200
2000-03-27,348000,352000,335000,340000,298237.5,1354600
2000-03-28,345000,363000,341000,351500,308324.9063,1488500
2000-03-29,351500,384000,349000,383000,335955.8125,1561800
2000-03-30,376000,378000,352500,352500,309202.125,1492900
2000-03-31,340000,353500,332500,335000,293851.6563,1277100
2000-04-03,346000,366000,343000,355000,311395.0625,1136100
2000-04-04,350000,364500,333000,340000,298237.5,1166800
2000-04-06,343000,348000,334000,334000,292974.5,944700
2000-04-07,343000,363000,339000,360000,315780.875,847100
2000-04-10,375000,375000,360000,365000,320166.6563,717700
2000-04-11,360000,360000,347500,355000,311395.0625,581500
2000-04-12,348000,351500,343000,345500,303061.9688,705000
2000-04-14,330000,334000,313000,313000,274553.9688,1247300
2000-04-17,271000,287500,267000,276000,242098.6719,1561000
2000-04-18,310000,312000,293000,302000,264905.125,1474600
2000-04-19,315000,323000,293000,300000,263150.7188,1212300
2000-04-20,298000,308000,296000,301000,264027.9375,746700
2000-04-21,303000,309000,298500,302500,265343.6563,528500
2000-04-24,298500,301500,288000,290000,254379.0625,556600
2000-04-25,281000,288000,276000,282000,247361.7031,698000
2000-04-26,291000,293000,280000,280000,245607.3281,785800
2000-04-27,276000,285000,270000,270000,236835.6563,1082200
2000-04-28,275000,305000,273000,300000,263150.7188,1510600
2000-05-02,310000,326500,306000,314000,275431.0938,1446700
2000-05-03,312000,313000,304500,309000,271045.2188,531700
2000-05-04,311000,318000,307000,309000,271045.2188,522000
2000-05-08,320000,335000,315000,328000,287711.5,1053900
2000-05-10,316000,319500,313500,317500,278501.1875,552400
2000-05-12,321000,322000,308000,308000,270168.0938,943400
2000-05-15,314500,326500,311000,322000,282448.4063,942400
2000-05-16,325500,340000,325500,340000,298237.5,792400
2000-05-17,350000,367000,346000,346000,303500.5,1524700
2000-05-18,337000,350000,334000,340000,298237.5,731600
2000-05-19,337000,345000,330000,345000,302623.4063,829000
2000-05-22,336000,341500,331000,333500,292535.8438,727700
2000-05-23,325000,335000,317500,319000,279816.9375,825800
2000-05-24,308000,318500,296000,310000,271922.4375,1443000
2000-05-25,316500,319000,296500,300000,263150.7188,1719300
2000-05-26,295000,299500,280000,280000,245607.3281,1342000
2000-05-29,263000,284000,262000,273000,239467.0938,1342600
2000-05-31,300000,314500,298000,308000,270168.0938,1678700
2000-06-01,310000,320500,306000,315000,276308.2188,1004600
2000-06-02,334500,345000,325500,331000,290342.9688,1687700
2000-06-05,346000,349000,334000,337000,295605.9375,960200
2000-06-07,330000,349000,325500,340000,298237.5,1067300
2000-06-08,333000,348000,326500,326500,286395.6875,1171000
2000-06-09,330000,352000,326500,351000,307886.3438,1277200
2000-06-12,360000,364000,351500,359500,315342.3125,990300
2000-06-13,353000,355000,343500,353000,309640.6563,849900
2000-06-14,361500,382000,354500,382000,335078.5625,1260400
2000-06-15,378000,378000,350000,350000,307009.1875,1224500
2000-06-16,345000,348000,335500,337000,295605.9375,1329100
2000-06-19,330000,347500,327500,335000,293851.6563,1071200
2000-06-20,347000,359000,341500,357000,313149.4375,1195800
2000-06-21,365000,369000,353500,354000,310517.9063,751700
2000-06-22,362000,363500,348000,352000,308763.5938,672700
2000-06-23,349000,350500,343000,350000,307009.1875,584300
2000-06-26,355000,368000,349500,360500,316219.5625,799600
2000-06-27,366000,372000,359500,365500,320605.2813,910700
2000-06-28,361000,377000,361000,376000,329815.6563,945900
2000-06-29,380000,387000,369000,374500,328499.875,1222400
2000-06-30,372000,377000,364500,369000,323675.3438,705000
2000-07-03,372000,377500,371000,375000,328938.3438,519500
2000-07-04,380000,381000,367500,367500,322359.6563,656200
2000-07-05,369500,376000,367500,371500,325868.3438,497900
2000-07-06,362000,367500,359000,365000,320166.6563,1206800
2000-07-07,367000,373000,361500,368000,322798.3125,811600
2000-07-10,372000,381500,370500,380000,333324.25,850100
2000-07-11,379000,387000,372500,372500,326745.5625,698900
2000-07-12,376000,383000,373000,382000,335078.5625,802800
2000-07-13,385000,394000,378500,388000,340341.5313,976100
2000-07-14,389000,392000,377000,377500,331131.3438,608500
2000-07-18,377500,381000,372000,373000,327184.0625,392100
2000-07-19,377500,381000,372000,373000,327184.0625,392100
2000-07-20,353000,355500,342000,345000,302623.4063,806300
2000-07-21,348000,352500,338000,346000,303500.5,967900
2000-07-24,332000,337000,318000,319000,279816.9375,980300
2000-07-25,315500,320000,306000,314000,275431.0938,1134700
2000-07-26,320000,329000,318000,327500,287272.875,1094900
2000-07-27,311000,318000,305000,311500,273238.1563,870800
2000-07-28,290000,295500,285500,286500,251308.9063,1660700
2000-07-31,286500,295500,277500,295000,258764.8906,932300
2000-08-01,298000,313500,293500,311000,272799.5313,1062400
2000-08-02,305000,308500,296500,303500,266220.8438,743800
2000-08-03,309000,309000,298500,301500,264466.5,556300
2000-08-04,296500,300500,292500,296000,259642.0781,472100
2000-08-07,287000,288500,279000,279000,244730.1875,575300
2000-08-08,283000,287500,278500,279000,244730.1875,669500
2000-08-09,284000,302000,284000,300000,263150.7188,791400
2000-08-10,300000,308000,293000,308000,270168.0938,816600
2000-08-11,300000,303500,294000,298000,261396.3594,676800
2000-08-14,303000,308000,300000,301000,264027.9375,474600
2000-08-16,325000,326500,316500,321000,281571.3125,1038300
2000-08-17,324000,328000,317000,322000,282448.4063,726900
2000-08-18,325000,326000,310000,310000,271922.4375,427400
2000-08-21,310000,317000,309500,313500,274992.5625,419000
2000-08-22,313000,323500,312000,323000,283325.6563,554200
2000-08-23,322500,322500,308000,309500,271483.8438,558100
2000-08-24,313000,315000,305000,311000,272799.5313,634000
2000-08-25,309000,320000,305500,320000,280694.0938,439200
2000-08-28,317000,319000,313000,316500,277624.0938,352600
2000-08-29,316000,319000,308000,311000,272799.5313,335300
2000-08-30,307000,309500,301000,301500,264466.5,474700
2000-08-31,295000,295000,269000,273500,239905.7344,2282400
2000-09-01,277000,280000,271000,277000,242975.8281,999100
2000-09-04,272000,277500,265500,267000,234204.1875,572500
2000-09-05,263000,267000,251500,257500,225871.0313,1595300
2000-09-06,260000,264000,254500,257500,225871.0313,1062400
2000-09-07,247000,249000,238000,239500,210081.9844,1678100
2000-09-08,245000,246500,239500,244000,214029.25,1143400
2000-09-14,230000,235500,222000,235500,206573.2969,2122600
2000-09-15,225000,231000,215000,217500,190784.2656,1653900
2000-09-18,200500,206000,185000,198500,174118.0156,2926100
2000-09-19,199500,218500,195000,208000,182451.1406,2010500
2000-09-20,230000,233000,223000,230000,201748.8906,2068200
2000-09-21,229500,233000,216000,220000,192977.1875,1308900
2000-09-22,192000,202500,189000,190000,166662.125,2065300
2000-09-25,194000,205500,192000,204500,179381.0469,1319700
2000-09-26,195000,202000,195000,200000,175433.8438,1168600
2000-09-27,200000,205000,198000,201500,176749.5781,1395900
2000-09-28,205000,209500,201500,203000,178065.3281,1049400
2000-09-29,206000,206000,197000,202000,177188.1563,1150700
2000-10-02,192000,194000,188000,190500,167100.7188,822400
2000-10-04,185000,197500,179500,194500,170609.3906,1652700
2000-10-05,201000,204000,197000,197000,172802.2813,1254900
2000-10-06,190000,195000,188000,195000,171047.9531,1098700
2000-10-09,191000,192000,184000,184500,161837.6719,1263900
2000-10-10,185000,190500,179500,183000,160521.9531,1242900
