DateFrom,Close,Diff,Ratio,Volume
1,273500,-28000,0.907131012,2282400
1,277000,3500,1.012797075,999100
3,267000,-10000,0.963898917,572500
1,257500,-9500,0.964419476,1595300
1,257500,0,1,1062400
1,239500,-18000,0.930097087,1678100
1,244000,4500,1.018789144,1143400
6,235500,-8500,0.965163934,2122600
1,217500,-18000,0.923566879,1653900
3,198500,-19000,0.912643678,2926100
1,208000,9500,1.047858942,2010500
1,230000,22000,1.105769231,2068200
1,220000,-10000,0.956521739,1308900
1,190000,-30000,0.863636364,2065300
3,204500,14500,1.076315789,1319700
1,200000,-4500,0.97799511,1168600
1,201500,1500,1.0075,1395900
1,203000,1500,1.007444169,1049400
1,202000,-1000,0.995073892,1150700
3,190500,-11500,0.943069307,822400
2,194500,4000,1.020997375,1652700
1,197000,2500,1.01285347,1254900
1,195000,-2000,0.989847716,1098700
3,184500,-10500,0.946153846,1263900
1,183000,-1500,0.991869919,1242900
1,161000,-22000,0.879781421,2072100
1,157000,-4000,0.97515528,1590700
1,151500,-5500,0.964968153,2305900
4,137000,-14500,0.904290429,1306000
1,136500,-500,0.996350365,3284300
1,145000,8500,1.062271062,2754400
1,166500,21500,1.148275862,2376500
3,160000,-6500,0.960960961,2799200
1,167000,7000,1.04375,1942300
1,160500,-6500,0.961077844,1374600
1,144500,-16000,0.900311526,2665800
4,137500,-7000,0.951557093,736600
1,142500,5000,1.036363636,1263800
1,163000,20500,1.143859649,1883300
1,166000,3000,1.018404908,2463600
1,172000,6000,1.036144578,1608400
3,175500,3500,1.020348837,1437300
1,172000,-3500,0.98005698,1074800
1,170500,-1500,0.99127907,1164300
1,170000,-500,0.997067449,1046100
1,169000,-1000,0.994117647,702800
3,157500,-11500,0.931952663,1021400
1,164500,7000,1.044444444,635100
1,169500,5000,1.030395137,1114400
1,164000,-5500,0.967551622,748400
1,161000,-3000,0.981707317,724500
3,155000,-6000,0.962732919,535900
1,158000,3000,1.019354839,1032400
1,157000,-1000,0.993670886,754200
1,160500,3500,1.022292994,892900
1,170000,9500,1.059190031,910600
3,189000,19000,1.111764706,2004400
1,176000,-13000,0.931216931,1195400
1,161000,-15000,0.914772727,1086000
1,162000,1000,1.00621118,1266300
1,159000,-3000,0.981481481,1928500
3,155000,-4000,0.974842767,1037500
1,162000,7000,1.04516129,1168000
1,160500,-1500,0.990740741,1917800
1,163000,2500,1.015576324,860400
1,168500,5500,1.033742331,951500
3,179000,10500,1.06231454,1411500
1,175000,-4000,0.977653631,1474900
1,189000,14000,1.08,1682800
1,181000,-8000,0.957671958,1339300
1,174500,-6500,0.964088398,1059200
3,178000,3500,1.020057307,687000
1,176500,-1500,0.991573034,508900
1,167000,-9500,0.946175637,1073500
1,162000,-5000,0.97005988,1532500
1,157000,-5000,0.969135802,1275200
4,158000,1000,1.006369427,1208600
7,167500,9500,1.060126582,789100
1,168500,1000,1.005970149,757100
1,189000,20500,1.121661721,2398200
1,195000,6000,1.031746032,1562700
3,194000,-1000,0.994871795,845900
1,192000,-2000,0.989690722,925600
1,185500,-6500,0.966145833,824700
1,182000,-3500,0.981132075,628200
1,192000,10000,1.054945055,1058000
3,196000,4000,1.020833333,1029200
1,207000,11000,1.056122449,1041300
1,211000,4000,1.019323671,1051400
1,220000,9000,1.042654028,1153700
1,230000,10000,1.045454545,1084900
3,227500,-2500,0.989130435,845000
4,199000,-28500,0.874725275,1820500
3,201000,2000,1.010050251,944900
1,205500,4500,1.02238806,787000
1,220000,14500,1.070559611,1060900
1,213500,-6500,0.970454545,794600
1,214500,1000,1.004683841,546600
3,201500,-13000,0.939393939,942700
1,200500,-1000,0.995037221,630900
1,195000,-5500,0.972568579,462600
1,203000,8000,1.041025641,693700
1,203500,500,1.002463054,504600
3,198500,-5000,0.975429975,722200
1,199000,500,1.002518892,445900
1,199000,0,1,394200
1,206500,7500,1.037688442,698600
1,212500,6000,1.02905569,927500
3,209500,-3000,0.985882353,457600
1,212000,2500,1.011933174,363500
1,208000,-4000,0.981132075,390000
1,200500,-7500,0.963942308,872100
1,192000,-8500,0.957605985,1537100
3,192000,0,1,713300
1,189500,-2500,0.986979167,773900
1,187000,-2500,0.986807388,574300
2,180500,-6500,0.965240642,890000
3,186000,5500,1.030470914,492400
1,190000,4000,1.021505376,510000
1,200000,10000,1.052631579,1052800
1,200500,500,1.0025,627200
1,192000,-8500,0.957605985,616000
3,183500,-8500,0.955729167,772200
1,182000,-1500,0.991825613,676300
2,196000,14000,1.076923077,587400
1,194500,-1500,0.992346939,466300
3,190000,-4500,0.976863753,497300
1,191000,1000,1.005263158,429100
1,193500,2500,1.013089005,811000
1,199000,5500,1.028423773,749300
1,215000,16000,1.08040201,1835100
3,217000,2000,1.009302326,857400
1,207500,-9500,0.956221198,626900
1,207500,0,1,521500
1,204500,-3000,0.985542169,598400
1,208000,3500,1.017114914,602000
3,199500,-8500,0.959134615,782800
1,190000,-9500,0.952380952,921400
1,183000,-7000,0.963157895,1245600
2,192000,9000,1.049180328,1705800
3,185500,-6500,0.966145833,516800
1,182000,-3500,0.981132075,783500
1,186000,4000,1.021978022,890300
1,200500,14500,1.077956989,1473200
1,203000,2500,1.012468828,776800
3,197000,-6000,0.97044335,204000
1,198500,1500,1.007614213,336300
1,214000,15500,1.078085642,955800
1,235000,21000,1.098130841,2626100
1,224500,-10500,0.955319149,898100
3,227000,2500,1.011135857,635700
1,220000,-7000,0.969162996,623700
1,226000,6000,1.027272727,526900
1,226000,0,1,526900
1,217000,-9000,0.960176991,433900
3,229000,12000,1.055299539,764500
2,229000,0,1,730200
1,230000,1000,1.004366812,517900
1,223000,-7000,0.969565217,656100
3,230000,7000,1.031390135,358900
1,229500,-500,0.997826087,336500
1,225000,-4500,0.980392157,413900
1,225000,0,1,492400
1,220500,-4500,0.98,554100
3,221500,1000,1.004535147,286200
1,217000,-4500,0.979683973,528400
1,210500,-6500,0.970046083,517900
1,221500,11000,1.052256532,482100
1,220500,-1000,0.995485327,378300
3,229000,8500,1.038548753,563200
1,231000,2000,1.008733624,976600
1,235000,4000,1.017316017,437800
1,226500,-8500,0.963829787,605500
1,222000,-4500,0.98013245,673900
3,222500,500,1.002252252,369600
1,232000,9500,1.042696629,485600
1,223500,-8500,0.963362069,636300
1,212000,-11500,0.948545861,1271900
1,212000,0,1,586300
3,212000,0,1,399100
1,203000,-9000,0.95754717,1030400
2,214000,11000,1.054187192,797300
1,223500,9500,1.044392523,854800
3,214000,-9500,0.957494407,493600
1,211000,-3000,0.985981308,483900
1,214000,3000,1.014218009,472900
1,211500,-2500,0.988317757,556800
1,209500,-2000,0.990543735,817400
3,205000,-4500,0.978520286,681900
1,205500,500,1.002439024,625500
1,200000,-5500,0.97323601,770300
1,198000,-2000,0.99,816100
1,193500,-4500,0.977272727,893700
3,193500,0,1,518500
1,189000,-4500,0.976744186,670000
1,186000,-3000,0.984126984,819700
1,187500,1500,1.008064516,540800
1,192000,4500,1.024,613500
3,193000,1000,1.005208333,465600
1,194500,1500,1.007772021,406100
1,197000,2500,1.01285347,274100
1,193000,-4000,0.979695431,311000
1,183500,-9500,0.950777202,760400
3,171000,-12500,0.931880109,1632700
1,170000,-1000,0.994152047,653300
1,169000,-1000,0.994117647,759400
1,176000,7000,1.041420118,1327300
1,170000,-6000,0.965909091,931200
3,167000,-3000,0.982352941,558200
2,167500,500,1.002994012,668600
1,177000,9500,1.056716418,746500
1,176000,-1000,0.994350282,592500
3,173000,-3000,0.982954545,425500
1,173500,500,1.002890173,429600
1,178500,5000,1.028818444,418100
1,181500,3000,1.016806723,437300
1,185500,4000,1.022038567,576000
3,185500,0,1,401100
1,189500,4000,1.021563342,444600
1,198000,8500,1.044854881,1157500
1,195500,-2500,0.987373737,635800
1,199500,4000,1.020460358,655900
3,199000,-500,0.997493734,322600
1,193000,-6000,0.969849246,441700
1,190000,-3000,0.984455959,268100
1,183000,-7000,0.963157895,583400
1,186500,3500,1.019125683,231600
3,191500,5000,1.026809651,372800
1,197500,6000,1.031331593,424400
2,195000,-2500,0.987341772,366600
1,196000,1000,1.005128205,354900
3,190000,-6000,0.969387755,188700
1,186000,-4000,0.978947368,434700
1,192500,6500,1.034946237,435400
1,192500,0,1,298900
1,192000,-500,0.997402597,150300
3,199000,7000,1.036458333,759100
1,197000,-2000,0.989949749,410700
1,196500,-500,0.997461929,382700
1,196000,-500,0.997455471,251700
1,190000,-6000,0.969387755,516900
3,188000,-2000,0.989473684,209000
1,196500,8500,1.045212766,375500
1,189500,-7000,0.96437659,420400
1,188500,-1000,0.994722955,349800
1,191000,2500,1.013262599,456700
3,191500,500,1.002617801,280000
1,187000,-4500,0.976501305,316200
1,161500,-25500,0.863636364,1699400
1,171500,10000,1.061919505,1194900
1,169500,-2000,0.988338192,663500
3,164000,-5500,0.967551622,569000
1,167500,3500,1.021341463,497400
1,164000,-3500,0.979104478,431100
1,154000,-10000,0.93902439,1227600
1,142500,-11500,0.925324675,1308300
4,143000,500,1.003508772,841300
1,141500,-1500,0.98951049,665500
1,140500,-1000,0.992932862,730000
7,145500,5000,1.035587189,1298500
1,147500,2000,1.013745704,800700
3,146000,-1500,0.989830508,398700
1,151500,5500,1.037671233,792600
1,149000,-2500,0.98349835,337100
1,159000,10000,1.067114094,1163400
1,163000,4000,1.025157233,945300
3,160000,-3000,0.981595092,348500
1,159000,-1000,0.99375,312400
1,164000,5000,1.031446541,571900
1,163000,-1000,0.993902439,437000
1,170000,7000,1.042944785,831100
3,169500,-500,0.997058824,374600
1,174000,4500,1.026548673,791600
1,185500,11500,1.066091954,1122300
1,183000,-2500,0.986522911,552200
1,181000,-2000,0.989071038,956400
3,184000,3000,1.016574586,509600
1,174000,-10000,0.945652174,676500
1,173500,-500,0.997126437,579600
1,179000,5500,1.031700288,685900
1,183000,4000,1.022346369,758400
3,185000,2000,1.010928962,603600
1,190000,5000,1.027027027,1060200
1,190500,500,1.002631579,885300
1,193000,2500,1.01312336,752000
4,200000,7000,1.03626943,470000
1,200000,0,1,600200
1,215000,15000,1.075,1500600
1,209500,-5500,0.974418605,725500
1,209000,-500,0.997613365,715900
3,218500,9500,1.045454545,786300
1,213500,-5000,0.977116705,753900
1,211000,-2500,0.988290398,668600
1,216000,5000,1.023696682,351900
1,222000,6000,1.027777778,547400
3,230000,8000,1.036036036,759800
1,231000,1000,1.004347826,839200
1,219000,-12000,0.948051948,594000
1,210000,-9000,0.95890411,1065300
1,218000,8000,1.038095238,624600
3,224500,6500,1.029816514,657200
1,230000,5500,1.024498886,654800
1,264500,34500,1.15,2302600
1,275000,10500,1.039697543,2292600
1,283500,8500,1.030909091,1174100
3,260000,-23500,0.917107584,1305600
1,258500,-1500,0.994230769,1052500
1,270000,11500,1.044487427,1077900
1,265000,-5000,0.981481481,1275300
1,255000,-10000,0.962264151,930200
3,250500,-4500,0.982352941,825100
1,260500,10000,1.03992016,1134500
1,264000,3500,1.013435701,617400
1,265000,1000,1.003787879,648700
1,251500,-13500,0.949056604,833000
3,252500,1000,1.003976143,408600
2,258000,5500,1.021782178,434900
1,270000,12000,1.046511628,807100
1,279000,9000,1.033333333,769600
5,308000,29000,1.103942652,1142000
2,319000,11000,1.035714286,1009400
3,318000,-1000,0.996865204,1029100
1,311500,-6500,0.979559748,760100
1,322500,11000,1.035313002,902400
1,308000,-14500,0.95503876,1096900
1,306000,-2000,0.993506494,953600
3,330000,24000,1.078431373,978000
1,312000,-18000,0.945454545,1377500
1,301500,-10500,0.966346154,1206600
1,300000,-1500,0.995024876,1112100
1,296000,-4000,0.986666667,885200
3,291000,-5000,0.983108108,825300
1,300000,9000,1.030927835,657900
1,308000,8000,1.026666667,798000
1,310000,2000,1.006493506,768300
1,323000,13000,1.041935484,1137500
3,318500,-4500,0.986068111,674700
1,315000,-3500,0.989010989,642800
1,303000,-12000,0.961904762,791600
2,309000,6000,1.01980198,712800
3,312000,3000,1.009708738,476100
1,323000,11000,1.03525641,973500
1,319000,-4000,0.987616099,636900
1,315000,-4000,0.987460815,739500
1,321000,6000,1.019047619,682100
6,355000,34000,1.105919003,1967300
1,341500,-13500,0.961971831,857200
3,343000,1500,1.004392387,713900
1,342500,-500,0.998542274,725400
1,340000,-2500,0.99270073,699600
1,338000,-2000,0.994117647,1031900
1,333500,-4500,0.986686391,942400
3,332000,-1500,0.995502249,679100
1,337000,5000,1.015060241,681100
1,350000,13000,1.038575668,917500
1,343000,-7000,0.98,861500
4,350000,7000,1.020408163,1219000
1,361000,11000,1.031428571,962300
1,363000,2000,1.005540166,619100
1,356000,-7000,0.980716253,495600
1,349000,-7000,0.980337079,734200
3,348500,-500,0.998567335,722700
1,353000,4500,1.012912482,787300
1,348000,-5000,0.985835694,668800
1,344000,-4000,0.988505747,2115700
1,330000,-14000,0.959302326,1430300
3,332000,2000,1.006060606,1036700
1,349000,17000,1.051204819,1260100
1,349000,0,1,862100
1,341500,-7500,0.978510029,672100
1,350500,9000,1.026354319,971900
3,340000,-10500,0.970042796,1090100
1,349000,9000,1.026470588,843900
1,363500,14500,1.041547278,1228200
1,357500,-6000,0.98349381,785200
1,368000,10500,1.029370629,738700
3,374000,6000,1.016304348,1149300
1,398500,24500,1.065508021,1567900
1,404000,5500,1.013801757,1208600
1,389000,-15000,0.962871287,1415900
4,369000,-20000,0.948586118,1552000
1,369000,0,1,1054800
1,356000,-13000,0.964769648,1303600
1,359500,3500,1.009831461,1433800
1,369000,9500,1.026425591,1108400
3,385000,16000,1.043360434,853300
1,389000,4000,1.01038961,850500
1,406000,17000,1.043701799,1540500
1,406500,500,1.001231527,975700
1,396000,-10500,0.974169742,1239700
3,410000,14000,1.035353535,1234400
1,427000,17000,1.041463415,1197800
1,432000,5000,1.011709602,799600
1,413000,-19000,0.956018519,1020200
1,400000,-13000,0.968523002,1123100
3,381000,-19000,0.9525,1066600
1,382000,1000,1.002624672,895700
2,379500,-2500,0.993455497,1038000
1,370000,-9500,0.974967062,1110700
3,348000,-22000,0.940540541,1102700
1,352000,4000,1.011494253,1440500
1,362500,10500,1.029829545,1066500
1,362000,-500,0.99862069,1494400
1,334000,-28000,0.922651934,2000300
3,335500,1500,1.004491018,1351400
1,358000,22500,1.067064083,1194600
1,376000,18000,1.05027933,1412200
1,370000,-6000,0.984042553,612900
1,382500,12500,1.033783784,807100
3,370000,-12500,0.967320261,604900
1,356000,-14000,0.962162162,806700
1,370000,14000,1.039325843,759200
1,360000,-10000,0.972972973,740300
1,366000,6000,1.016666667,686700
3,361500,-4500,0.987704918,387000
1,369500,8000,1.022130014,469500
1,362000,-7500,0.9797023,780600
1,355000,-7000,0.980662983,627400
1,342000,-13000,0.963380282,894700
3,351000,9000,1.026315789,698000
1,352000,1000,1.002849003,568100
1,355500,3500,1.009943182,508300
2,345000,-10500,0.970464135,789200
3,350000,5000,1.014492754,560000
1,350000,0,1,440100
1,352000,2000,1.005714286,858100
2,359500,7500,1.021306818,756900
3,359000,-500,0.998609179,565100
1,363000,4000,1.011142061,839200
1,348500,-14500,0.960055096,1261300
1,341000,-7500,0.978479197,859000
1,340000,-1000,0.997067449,973100
3,339000,-1000,0.997058824,558300
1,338500,-500,0.998525074,603100
1,309000,-29500,0.912850812,1284200
1,313000,4000,1.012944984,895100
1,329000,16000,1.051118211,911200
4,337500,8500,1.025835866,812000
1,338000,500,1.001481481,811700
1,350000,12000,1.035502959,740400
1,358000,8000,1.022857143,900300
3,359000,1000,1.002793296,1087700
1,362000,3000,1.008356546,661400
1,347000,-15000,0.958563536,713100
1,331500,-15500,0.955331412,759600
1,352000,20500,1.061840121,800000
3,353000,1000,1.002840909,735100
1,354000,1000,1.002832861,852700
2,357000,3000,1.008474576,802100
1,341500,-15500,0.956582633,863800
3,330000,-11500,0.966325037,789600
1,345000,15000,1.045454545,827100
1,335000,-10000,0.971014493,677000
1,339000,4000,1.011940299,950300
1,320000,-19000,0.943952802,1277300
3,325000,5000,1.015625,578500
1,333000,8000,1.024615385,623400
1,332500,-500,0.998498498,549600
1,324500,-8000,0.97593985,522700
