Date,Open,High,Low,Close,Volume
2003.3.30,0.973972603,0.989041096,0.967741935,0.987394958,0.998484231
2003.4.2,1.00140647,0.997229917,0.997101449,0.992907801,0.994431692
2003.4.3,0.969101124,0.972222222,0.969476744,0.957142857,1.014473966
2003.4.4,0.968115942,0.97,0.974512744,0.986567164,0.965086575
2003.4.6,1.017964072,1.016200295,1.018461538,1.004538578,1.014519029
2003.4.9,0.985294118,0.976811594,0.983383686,0.99246988,1.017888173
2003.4.10,1.002985075,1.002967359,1.006144393,0.993930197,0.959994707
2003.4.11,0.983630952,1.063609467,1.007633588,1.053435115,1.174618351
2003.4.12,1.042360061,0.963838665,1.03030303,0.992753623,0.903126841
2003.4.13,1.001451379,1.02020202,1.008823529,1.017518248,1.005826582
2003.4.16,0.994202899,1.018387553,1,1.014347202,1.036894421
2003.4.17,1.030612245,0.998611111,1.005830904,0.994342291,0.958395775
2003.4.18,1.005657709,0.994436718,1.023188406,1.015647226,1.038674735
2003.4.19,1.018284107,1.016783217,1.011331445,1.007002801,1.003703118
2003.4.20,0.993093923,1,0.985994398,0.980528512,0.964017847
2003.4.23,0.987482615,0.984869326,0.988636364,1.00141844,0.989213013
2003.4.24,1,1.030726257,1.010057471,1.001416431,1.131488182
2003.4.25,0.987323944,0.968834688,0.995732575,0.997171146,0.9122811
2003.4.26,1,1,1,1,1
2003.4.27,1.019971469,1,1,0.99858156,0.921370669
2003.4.30,0.984615385,1.004195804,1.002857143,1.012784091,1.109831356
2003.5.2,1.029829545,1.072423398,1.017094017,1.037868163,1.084988951
2003.5.3,1.030344828,0.97012987,1.009803922,1.002702703,0.894139307
2003.5.4,0.991967871,1.001338688,1.012482663,0.993261456,0.984353275
2003.5.7,0.990553306,1.022727273,1.005479452,1.017639077,1.037613096
2003.5.8,1.021798365,0.993464052,1.01226158,1,0.972365324
2003.5.9,1.013333333,1.009210526,0.98654105,0.977333333,1.005440818
2003.5.10,0.948684211,0.9726206,0.983628922,1.008185539,0.978614083
2003.5.11,1.036061026,1.001340483,1.013869626,0.99594046,0.960901261
2003.5.14,0.985274431,1.004016064,1.006839945,1.014945652,1.020877741
2003.5.15,1.032608696,1.013333333,1.014945652,1.013386881,1.063670435
2003.5.16,1.006578947,1.028947368,1.00669344,0.99339498,1.047778979
2003.5.17,1.058823529,1.04859335,1.029255319,1.043882979,1.03139714
2003.5.18,0.956790123,0.980487805,0.994832041,1.014012739,0.953995204
2003.5.21,1.077419355,1.038557214,1.045454545,1.036432161,1.004032149
2003.5.22,1,1.039520958,1.00621118,1.025454545,1.073926259
2003.5.23,1.005988024,0.971198157,1.001234568,0.96572104,0.922828843
2003.5.24,0.972619048,0.96915777,0.974106042,0.981640147,1.017496842
2003.5.25,0.981640147,0.996328029,1.007594937,1.004987531,0.950988565
2003.5.28,1.024937656,1.137592138,1.016331658,1.079404467,1.193874532
2003.5.29,1.064476886,0.950323974,1.037082818,0.965517241,0.914515181
2003.5.30,0.972571429,0.972727273,0.99523242,0.997619048,0.946486247
2003.5.31,0.98119859,1.125,1,1.149164678,1.171644418
2003.6.1,1.177245509,1.147455867,1.167664671,1.147455867,1.01900906
2003.6.4,1.139369278,1.040723982,1.087179487,1,0.975814458
2003.6.5,1.017857143,1,1,1.009049774,0.992301024
2003.6.7,1,1.004347826,1.04245283,1.004484305,0.980876522
2003.6.8,0.960526316,1.017316017,0.932126697,1.03125,0.996525822
2003.6.11,1.0456621,1.012765957,1.101941748,0.995670996,1.002008955
2003.6.12,1.013100437,1,1,1.030434783,0.987136789
2003.6.13,1.034482759,1.016806723,1.030837004,0.995780591,0.977283002
2003.6.14,0.991666667,0.995867769,0.965811966,1.021186441,1.105226538
2003.6.15,1.025210084,1.01659751,1.004424779,0.966804979,0.951657006
2003.6.18,0.959016393,0.963265306,0.995594714,1,0.955991166
2003.6.19,1.012820513,1.016949153,0.991150442,0.982832618,1.023498309
2003.6.20,0.966244726,0.9625,0.964285714,0.956331878,0.94315116
2003.6.21,0.943231441,1.086580087,0.958333333,1.086757991,1.098568099
2003.6.22,1.074074074,0.944223108,1.120772947,0.987394958,0.893393616
2003.6.25,0.987068966,0.987341772,0.978448276,0.970212766,1.000744527
2003.6.26,0.995633188,0.974358974,0.986784141,0.986842105,0.979565626
2003.6.27,1,1.01754386,0.982142857,1,1.059148564
